VAL_PUTIN,HABITAT,MAN,AGE,IDEOL,INCOME
0,b. 10k-150k hab,0,56,3.0,2700.0
3,b. 10k-150k hab,0,78,6.0,
0,b. 10k-150k hab,1,28,3.0,
0,b. 10k-150k hab,0,71,3.0,1100.0
3,b. 10k-150k hab,0,60,5.0,
1,a. >150k hab,0,89,,950.0
7,a. >150k hab,1,50,2.0,2700.0
3,a. >150k hab,0,73,0.0,
0,a. >150k hab,1,36,4.0,1500.0
5,a. >150k hab,1,72,6.0,2200.0
0,a. >150k hab,0,60,,750.0
0,b. 10k-150k hab,0,39,5.0,450.0
3,b. 10k-150k hab,0,77,6.0,1900.0
5,b. 10k-150k hab,1,73,2.0,750.0
5,b. 10k-150k hab,1,63,3.0,1100.0
8,b. 10k-150k hab,0,36,4.0,
2,b. 10k-150k hab,0,50,2.0,1500.0
1,b. 10k-150k hab,1,43,3.0,1500.0
0,a. >150k hab,1,40,4.0,6500.0
3,b. 10k-150k hab,0,58,5.0,1900.0
3,a. >150k hab,0,35,1.0,2700.0
0,c. <10k hab,0,63,,450.0
0,c. <10k hab,0,68,3.0,2200.0
4,c. <10k hab,1,51,5.0,
3,c. <10k hab,0,30,2.0,2700.0
2,c. <10k hab,1,57,,1100.0
6,b. 10k-150k hab,1,72,5.0,1100.0
5,b. 10k-150k hab,1,30,5.0,2200.0
1,b. 10k-150k hab,0,42,4.0,3500.0
2,a. >150k hab,1,33,8.0,1500.0
0,a. >150k hab,1,54,5.0,
0,a. >150k hab,1,64,0.0,
4,a. >150k hab,1,39,1.0,
4,a. >150k hab,0,52,3.0,5500.0
1,a. >150k hab,1,52,4.0,3500.0
0,a. >150k hab,0,21,3.0,2200.0
0,a. >150k hab,0,19,1.0,3500.0
1,a. >150k hab,0,51,6.0,
4,a. >150k hab,0,73,5.0,1900.0
5,a. >150k hab,1,55,5.0,
6,a. >150k hab,1,83,4.0,1500.0
4,a. >150k hab,1,47,0.0,950.0
0,a. >150k hab,0,76,4.0,1900.0
6,c. <10k hab,1,45,5.0,2700.0
0,c. <10k hab,1,56,5.0,3500.0
1,b. 10k-150k hab,1,68,1.0,1900.0
2,b. 10k-150k hab,1,81,8.0,4750.0
4,b. 10k-150k hab,0,35,,1100.0
0,b. 10k-150k hab,1,91,4.0,1100.0
2,c. < 10k hab,0,65,5.0,450.0
0,b. 10k-150k hab,1,50,3.0,
3,c. < 10k hab,0,60,5.0,1500.0
0,b. 10k-150k hab,0,45,8.0,950.0
1,b. 10k-150k hab,1,74,7.0,2700.0
0,b. 10k-150k hab,1,36,4.0,3500.0
4,b. 10k-150k hab,1,71,4.0,1100.0
5,a. >150k hab,0,55,3.0,1500.0
0,b. 10k-150k hab,0,23,5.0,950.0
2,b. 10k-150k hab,0,47,5.0,4750.0
5,b. 10k-150k hab,1,76,0.0,2200.0
8,b. 10k-150k hab,1,83,4.0,750.0
1,a. >150k hab,1,70,4.0,1500.0
3,b. 10k-150k hab,0,22,1.0,2200.0
2,b. 10k-150k hab,0,52,3.0,2200.0
8,c. <10k hab,0,41,8.0,1500.0
4,b. 10k-150k hab,1,53,7.0,
4,a. >150k hab,1,36,10.0,4250.0
2,b. 10k-150k hab,1,41,9.0,
4,b. 10k-150k hab,1,71,7.0,
0,b. 10k-150k hab,0,69,6.0,1500.0
10,b. 10k-150k hab,1,55,5.0,
2,a. >150k hab,0,66,4.0,2200.0
5,a. >150k hab,0,79,7.0,
2,a. >150k hab,0,60,5.0,2700.0
5,b. 10k-150k hab,1,82,4.0,150.0
8,a. >150k hab,0,23,5.0,
8,a. >150k hab,1,70,5.0,
1,a. >150k hab,1,61,1.0,2200.0
2,c. <10k hab,0,76,,450.0
0,c. <10k hab,1,75,6.0,1900.0
5,c. <10k hab,1,68,4.0,750.0
2,b. 10k-150k hab,0,59,1.0,
1,b. 10k-150k hab,1,58,1.0,
1,b. 10k-150k hab,1,47,3.0,
4,c. <10k hab,0,58,3.0,1100.0
6,b. 10k-150k hab,0,73,5.0,
4,b. 10k-150k hab,0,46,2.0,2200.0
3,b. 10k-150k hab,0,59,5.0,1500.0
0,b. 10k-150k hab,1,43,5.0,
2,c. <10k hab,0,41,4.0,
0,b. 10k-150k hab,0,68,7.0,1900.0
3,c. < 10k hab,0,25,0.0,450.0
0,c. < 10k hab,1,52,2.0,2200.0
4,c. < 10k hab,1,27,6.0,1900.0
2,c. < 10k hab,1,47,7.0,2700.0
1,c. < 10k hab,1,67,5.0,1500.0
3,c. < 10k hab,1,64,5.0,2700.0
1,c. < 10k hab,0,64,2.0,2200.0
