NO_ECON_OVER_ENV,MAN,AGE,HABITAT,LAB_STATUS_R,LOG_INCOME_R,IND_NA_INCOME,IDEOL
0,1,59,c. <10k hab,Treballa,6.10924758276437,0,6.0
0,1,66,c. <10k hab,No treballa,6.62007320653036,0,3.0
1,1,43,b. 10k-150k hab,Treballa,7.60423563130709,1,4.0
1,1,55,b. 10k-150k hab,Treballa,7.60423563130709,1,4.0
1,0,53,b. 10k-150k hab,Treballa,7.3132203870903,0,4.0
0,1,71,a. >150k hab,No treballa,7.54960916515453,0,5.0
1,1,33,b. 10k-150k hab,Treballa,7.3132203870903,0,3.0
1,0,41,b. 10k-150k hab,Treballa,7.60423563130709,1,3.0
0,1,41,b. 10k-150k hab,Treballa,7.54960916515453,0,5.0
1,1,36,b. 10k-150k hab,Treballa,8.46589989702869,0,5.0
1,1,80,b. 10k-150k hab,No treballa,6.62007320653036,0,2.0
1,1,56,b. 10k-150k hab,Treballa,7.90100705199242,0,2.0
1,1,34,b. 10k-150k hab,No treballa,6.62007320653036,0,5.0
0,1,62,b. 10k-150k hab,Treballa,7.69621263934641,0,5.0
1,0,23,b. 10k-150k hab,No treballa,7.60423563130709,1,
1,0,74,b. 10k-150k hab,No treballa,6.62007320653036,0,6.0
0,1,64,b. 10k-150k hab,No treballa,7.54960916515453,0,0.0
1,1,48,c. <10k hab,No treballa,6.10924758276437,0,0.0
0,1,50,b. 10k-150k hab,No treballa,6.10924758276437,0,6.0
0,1,49,b. 10k-150k hab,Treballa,7.90100705199242,0,6.0
0,1,63,b. 10k-150k hab,No treballa,7.90100705199242,0,7.0
0,0,45,b. 10k-150k hab,Treballa,8.77955745588373,0,6.0
1,1,39,b. 10k-150k hab,Treballa,7.3132203870903,0,0.0
0,1,64,b. 10k-150k hab,No treballa,7.69621263934641,0,10.0
