"IDH","NIVELL","PAIS","ESPVIDA","PIB","ALFAB","CONT","CALORIES","HABMETG","DIARIS","TV","SANITAT","AGRICULT","INDUST"
112,"mid","Guatemala       ",64.8,1000,54.2,"America",2255,4000,2,5,2.1,50,18
117,"mid","Marroc          ",63.3,1050,40.6,"Africa",2985,4730,1,7,0.9,46,25
96,"mid","Rep Domininicana",69.6,1070,80.7,"America",2342,935,4,9,2.1,46,15
124,"mid","Swazilandia     ",57.5,1080,74,"Africa",2706,9091,2,2,NA,74,9
68,"mid","Ecuador         ",68.8,1100,88.4,"America",2587,671,6,9,NA,33,19
122,"mid","Congo           ",51.3,1110,70.7,"Africa",2297,3571,1,1,NA,62,12
80,"mid","Jordania        ",67.9,1130,83.9,"Asia",3031,649,6,8,1.8,10,26
98,"mid","Romania         ",69.9,1170,96,"Europa",3252,552,32,20,NA,29,43
115,"mid","El Salvador     ",66.4,1200,69.8,"America",2663,1563,9,9,2.6,11,23
119,"mid","Vanuatu         ",65.2,1230,53,"Oceania",2744,5500,NA,1,NA,68,8
77,"mid","Surinam         ",70.3,1280,92.2,"Asia",2548,NA,10,13,NA,20,20
57,"high","Colombia        ",69.3,1350,90.3,"America",2678,1064,6,12,1.8,10,24
93,"mid","Peru            ",66,1350,87.3,"America",1883,1031,7,10,1.9,35,12
